date,victim_count,victim_age,id,total_words,total_victims,fatalities,suspect_1_age,suspect_2_age
1982-08-20,1,46,1,1205,11,8,51,NA
1982-08-20,2,53,1,1205,11,8,51,NA
1982-08-20,3,47,1,1205,11,8,51,NA
1982-08-20,4,67,1,1205,11,8,51,NA
1982-08-20,5,78,1,1205,11,8,51,NA
1982-08-20,6,29,1,1205,11,8,51,NA
1982-08-20,7,38,1,1205,11,8,51,NA
1982-08-20,8,43,1,1205,11,8,51,NA
1984-06-29,1,34,2,481,7,6,39,NA
1984-06-29,2,45,2,481,7,6,39,NA
1984-06-29,3,43,2,481,7,6,39,NA
1984-06-29,4,36,2,481,7,6,39,NA
1984-06-29,5,49,2,481,7,6,39,NA
1984-06-29,6,46,2,481,7,6,39,NA
1984-07-18,1,19,3,5385,41,22,41,NA
1984-07-18,2,22,3,5385,41,22,41,NA
1984-07-18,3,18,3,5385,41,22,41,NA
1984-07-18,4,19,3,5385,41,22,41,NA
1984-07-18,5,11,3,5385,41,22,41,NA
1984-07-18,6,22,3,5385,41,22,41,NA
1984-07-18,7,11,3,5385,41,22,41,NA
1984-07-18,8,31,3,5385,41,22,41,NA
1984-07-18,9,11,3,5385,41,22,41,NA
1984-07-18,10,21,3,5385,41,22,41,NA
1984-07-18,11,18,3,5385,41,22,41,NA
1984-07-18,12,9,3,5385,41,22,41,NA
1984-07-18,13,19,3,5385,41,22,41,NA
1984-07-18,14,1,3,5385,41,22,41,NA
1984-07-18,15,18,3,5385,41,22,41,NA
1984-07-18,16,25,3,5385,41,22,41,NA
1984-07-18,17,74,3,5385,41,22,41,NA
1984-07-18,18,31,3,5385,41,22,41,NA
1984-07-18,19,45,3,5385,41,22,41,NA
1984-07-18,20,70,3,5385,41,22,41,NA
1984-07-18,21,62,3,5385,41,22,41,NA
1986-08-20,1,41,4,7039,21,15,44,NA
1986-08-20,2,39,4,7039,21,15,44,NA
1986-08-20,3,38,4,7039,21,15,44,NA
1986-08-20,4,47,4,7039,21,15,44,NA
1986-08-20,5,30,4,7039,21,15,44,NA
1986-08-20,6,49,4,7039,21,15,44,NA
1986-08-20,7,30,4,7039,21,15,44,NA
1986-08-20,8,49,4,7039,21,15,44,NA
1986-08-20,9,34,4,7039,21,15,44,NA
1986-08-20,10,42,4,7039,21,15,44,NA
1986-08-20,11,51,4,7039,21,15,44,NA
1986-08-20,12,33,4,7039,21,15,44,NA
1986-08-20,13,31,4,7039,21,15,44,NA
1986-08-20,14,27,4,7039,21,15,44,NA
1987-04-23,1,18,5,5229,20,6,59,NA
1987-04-23,2,25,5,5229,20,6,59,NA
1987-04-23,3,28,5,5229,20,6,59,NA
1987-04-23,4,27,5,5229,20,6,59,NA
1987-04-23,5,67,5,5229,20,6,59,NA
1987-04-23,6,52,5,5229,20,6,59,NA
1988-02-16,1,36,6,2645,11,7,39,NA
1988-02-16,2,46,6,2645,11,7,39,NA
1988-02-16,3,49,6,2645,11,7,39,NA
1988-02-16,4,27,6,2645,11,7,39,NA
1988-02-16,5,26,6,2645,11,7,39,NA
1988-02-16,6,43,6,2645,11,7,39,NA
1988-02-16,7,23,6,2645,11,7,39,NA
1989-01-17,1,6,7,6676,35,6,26,NA
1989-01-17,2,8,7,6676,35,6,26,NA
1989-01-17,3,8,7,6676,35,6,26,NA
1989-01-17,4,9,7,6676,35,6,26,NA
1989-01-17,5,6,7,6676,35,6,26,NA
1989-09-14,1,54,8,5534,21,9,47,NA
1989-09-14,2,45,8,5534,21,9,47,NA
1989-09-14,3,47,8,5534,21,9,47,NA
1989-09-14,4,49,8,5534,21,9,47,NA
1989-09-14,5,46,8,5534,21,9,47,NA
1989-09-14,6,60,8,5534,21,9,47,NA
1989-09-14,7,56,8,5534,21,9,47,NA
1989-09-14,8,42,8,5534,21,9,47,NA
1989-09-14,9,NA,8,5534,21,9,47,NA
1990-06-18,1,39,9,1264,14,10,42,NA
1990-06-18,2,30,9,1264,14,10,42,NA
1990-06-18,3,50,9,1264,14,10,42,NA
1990-06-18,4,42,9,1264,14,10,42,NA
1990-06-18,5,40,9,1264,14,10,42,NA
1990-06-18,6,45,9,1264,14,10,42,NA
1990-06-18,7,36,9,1264,14,10,42,NA
1990-06-18,8,45,9,1264,14,10,42,NA
1990-06-18,9,30,9,1264,14,10,42,NA
1990-06-18,10,33,9,1264,14,10,42,NA
1990-06-18,11,38,9,1264,14,10,42,NA
1991-10-16,1,57,10,10393,44,24,35,NA
1991-10-16,2,48,10,10393,44,24,35,NA
1991-10-16,3,62,10,10393,44,24,35,NA
1991-10-16,4,43,10,10393,44,24,35,NA
1991-10-16,5,71,10,10393,44,24,35,NA
1991-10-16,6,67,10,10393,44,24,35,NA
1991-10-16,7,33,10,10393,44,24,35,NA
1991-10-16,8,48,10,10393,44,24,35,NA
1991-10-16,9,70,10,10393,44,24,35,NA
1991-10-16,10,63,10,10393,44,24,35,NA
